,alpha,beta,channel_1,channel_2,gamma,theta
0,0.0,0.0,0,0,0.0,0.0
1,0.4362677144840461,0.23080462109498306,0,1,0.21515024774980906,0.3550334818402029
2,0.308884914373445,0.25542321965303005,0,2,0.20745888118107628,0.40810343283756617
3,0.2791029512637082,0.2564563065334415,0,3,0.2375962182760541,0.4263276714726866
4,0.4029473170778864,0.20938641914261918,0,4,0.2390923910447276,0.39302659639387716
5,0.4696554188625044,0.18205852132473163,0,5,0.22341056035253015,0.27401085937608166
6,0.5237326559332178,0.15908692479830822,0,6,0.24674222361843307,0.4920708652720233
7,0.5183941570350868,0.18528880417859472,0,7,0.32256813660466693,0.5009640783000535
8,0.5649160545605024,0.16617244563487557,0,8,0.3246801698522177,0.36885606294538753
9,0.4741304989571086,0.1733342559701015,0,9,0.3009524579953379,0.332037858272744
10,0.26269622711921153,0.21820146061787538,0,10,0.26213329610101294,0.43343015773805244
11,0.19686423841804815,0.2469378985964275,0,11,0.2534833773911862,0.39999349036377735
12,0.3785314992993083,0.15538738442744102,0,12,0.24525258333983466,0.2702632732902111
13,0.5361461248555114,0.15345676711167158,0,13,0.3554152321011177,0.4874403019303716
14,0.5142539992194473,0.21591316567115337,0,14,0.30523884891344555,0.5577905206932963
15,0.4256107852998483,0.22939640377680864,0,15,0.32059453879316774,0.5253067665018697
16,0.3854143203231615,0.1638201308687817,0,16,0.33309628690233917,0.5129055119742525
17,0.27382925780644357,0.13752748760381753,0,17,0.32486544944351897,0.32330571776193473
18,0.2842422167366871,0.20871947818760914,0,18,0.26171003609293636,0.29128890360423165
19,0.30327001801402853,0.24157286412266987,0,19,0.21930805760565672,0.2690335998718242
20,0.1412471854360328,0.19829375364726085,0,20,0.2712410926509572,0.37449348280745803
21,0.3000732731202887,0.20744177966482075,0,21,0.3061472607839765,0.5314764786728449
22,0.354057915492241,0.2443979569488586,0,22,0.24970324975133112,0.4714157304866131
23,0.2301775874307578,0.1911828451464842,0,23,0.21595993341601716,0.41068941459757424
24,0.16824939149131957,0.2281937773498179,0,24,0.2312946548238957,0.40885314461774225
