,alpha,beta,channel_1,channel_2,gamma,theta
0,0.0,0.0,0,0,0.0,0.0
1,0.27126377573266264,0.204940693452501,0,1,0.1593512338660902,0.3303841109752026
2,0.20226012964326234,0.23279986353366755,0,2,0.23098220307638948,0.28917183947977126
3,0.17726509221021225,0.263135989316702,0,3,0.20350402754088986,0.27450398836765494
4,0.20541317664952877,0.2273637255050798,0,4,0.2216150082078727,0.1750799132126797
5,0.17476564326289482,0.20585469984801227,0,5,0.22847707883327076,0.25426180311007823
6,0.23515722316941304,0.22156834993456215,0,6,0.15545518920267903,0.3360083964447262
7,0.2675985424042993,0.18323039599636293,0,7,0.22290700230601274,0.35895101429477694
8,0.2834374972864678,0.20138984484395825,0,8,0.2170419648637053,0.2258195447458054
9,0.21974087561128083,0.2571119754075038,0,9,0.18817859343827875,0.19549903658481413
10,0.1921507325030777,0.32165617399049967,0,10,0.2047025857111672,0.21516609682520513
11,0.292194812259796,0.39202172512925093,0,11,0.20871211296117737,0.26018342033179154
12,0.27941549014244155,0.29299254784727835,0,12,0.1748691688368855,0.13627338829556362
13,0.33387541380546853,0.1727258543779352,0,13,0.1863557329931437,0.2592409946423935
14,0.35207293023093084,0.13370545920655538,0,14,0.18058351831041072,0.347614261024843
15,0.4250833606565574,0.11862031759259034,0,15,0.20970321177009837,0.35892320608458006
16,0.40117850119604054,0.21543559828139613,0,16,0.1961368414885958,0.30294438448824756
17,0.38691922071163076,0.2863479549317401,0,17,0.19295564871083368,0.2165861268859427
18,0.40995765625519986,0.32619909678490555,0,18,0.18095244527763465,0.2866491948666122
19,0.40289617222887436,0.206117457856284,0,19,0.23935484603067433,0.1655789226201021
20,0.3819057885396541,0.20234176993384026,0,20,0.19747315663338877,0.2935638971076585
21,0.3229523589728986,0.20871277045196987,0,21,0.19709099219689424,0.41794808118637966
22,0.304839809964694,0.1859743006288042,0,22,0.2129547941079083,0.3787420393009489
23,0.24530118486147426,0.24754507671509846,0,23,0.22025840366028243,0.28736303644957406
24,0.14302242243524013,0.20716950827995542,0,24,0.20638195669842438,0.3522799709693485
25,0.18016889191614024,0.18923556986853293,0,25,0.27162270246235243,0.27792373475370785
26,0.17945857885439723,0.26110390993269467,0,26,0.1554258318807277,0.3521420468265338
27,0.2239940425404631,0.3373315644438681,0,27,0.16781806659701412,0.3795642687537659
28,0.2792418535148453,0.41083818224635993,0,28,0.20057143930426782,0.34971583793371613
29,0.3055362443013941,0.3696848048793818,0,29,0.1786541013815652,0.19531451696717403
30,0.43273491032557826,0.2126593698762729,0,30,0.1777254553280481,0.22070825804062888
31,0.4031049941483425,0.36132627791978567,0,31,0.1819739833980269,0.3009469331469359
32,0.28591259022352217,0.2493437347758563,0,32,0.16480804082106942,0.33725786922298207
33,0.34029578321832704,0.24958302786317216,0,33,0.1486895517650492,0.19483499853601463
34,0.30768202020182217,0.19922235329740567,0,34,0.19101591151211528,0.17408484687979592
35,0.41520183616854967,0.2492511710845694,0,35,0.16796564574440742,0.32362347290071697
36,0.2145362466429472,0.29481267168693964,0,36,0.18246277080143586,0.33377779054779605
37,0.1816122591556735,0.29107849931643776,0,37,0.18577308257506667,0.29767385097720667
38,0.3096004363809743,0.33520979633059195,0,38,0.18432477592613664,0.28618133316643873
39,0.527188725530337,0.2290781177424003,0,39,0.21198885332055703,0.41382861082726735
40,0.3691501623634022,0.19475335970001525,0,40,0.1927052889808371,0.17283502840616166
41,0.2662870098888741,0.16076864998501358,0,41,0.19945147323883536,0.154563967305318
42,0.2777000411539425,0.19176997713889687,0,42,0.22481025589997455,0.20932888459109583
43,0.44479502509254387,0.17522265349988245,0,43,0.20385955500887004,0.25663332819886736
44,0.4095746838804771,0.2771647267603577,0,44,0.22932147469733796,0.19589372401493793
45,0.28512536115571485,0.3948606275355549,0,45,0.1892547693381932,0.23231604118979501
46,0.20015527754663034,0.3795075806323313,0,46,0.2119616758519797,0.2036961270511048
47,0.27163821452111664,0.40254099881430566,0,47,0.1967838592176683,0.2389695058314129
48,0.253763883880203,0.4882383681236611,0,48,0.21778399591951694,0.25829413918362853
49,0.3139276014845466,0.3943798522363808,0,49,0.20540224161200296,0.3503071383946234
50,0.3290210519744769,0.1262044012597407,0,50,0.21923397160589297,0.25446320823023155
51,0.28880212909353054,0.19084345628844418,0,51,0.20563399871969573,0.19309337097579665
52,0.22040625839588354,0.2544409719667717,0,52,0.190491798010932,0.21008259769540413
53,0.2346846267143026,0.13657736901901882,0,53,0.15403434495025062,0.2456591245761277
54,0.15501471657334964,0.2586846627908913,0,54,0.20230581404405587,0.3245255193349448
55,0.37563027519423337,0.39587639832393806,0,55,0.22915738159496338,0.36017108721330254
56,0.3261558188815039,0.2119536874699771,0,56,0.19102577607390775,0.24727144815561747
57,0.15855962628173523,0.21968924247909408,0,57,0.1751765191741544,0.22482731116339696
58,0.264359123943029,0.19527122736495328,0,58,0.22600056370430463,0.15330995684484364
59,0.2888086986013957,0.2971486180052557,0,59,0.18351928600102355,0.21063924590287725
60,0.2068799601281551,0.39254019742753965,0,60,0.2008231090367921,0.1668057457468071
61,0.40694106808695757,0.35603965069838966,0,61,0.1953818203190955,0.2167904109512601
62,0.21969572597654918,0.389668141749794,0,62,0.24366552354122648,0.24669720313491464
63,0.4007532149648266,0.37898183575473227,0,63,0.20967497463543333,0.2997087903323795
64,0.27126377573266264,0.204940693452501,1,0,0.1593512338660902,0.3303841109752026
65,0.0,0.0,1,1,0.0,0.0
66,0.27282802245519505,0.22304008630002273,1,2,0.15662830014242277,0.3942053995785242
67,0.1700258583141727,0.22866621330212425,1,3,0.16553248830615433,0.3390480321262377
68,0.23500516830715987,0.21891882825709783,1,4,0.20183323058865096,0.29569947377344497
69,0.17422675973017207,0.2067277908627253,1,5,0.27600951927821105,0.09789743315401994
70,0.19141652275749824,0.18143914357724972,1,6,0.234496995306877,0.23215468571779416
71,0.1955723509039006,0.14734867744058577,1,7,0.2085962925431273,0.28321280345557853
72,0.21381024002618318,0.1876102451156405,1,8,0.18768753407462754,0.09060020146703059
73,0.17318920022712148,0.2278410782112245,1,9,0.16774588224031164,0.19657600652128035
74,0.1740687881208017,0.2896339333897007,1,10,0.18878139646002837,0.23788760230733513
75,0.26251471417232813,0.3547563674084443,1,11,0.21144876251174022,0.2770873661208982
76,0.24704318821930535,0.2325874985723119,1,12,0.164448867985626,0.09695254035994844
77,0.2852243624734058,0.14679076509636896,1,13,0.15836823352566728,0.23495276420285108
78,0.3163852212784542,0.11871282717327002,1,14,0.13507647088963223,0.33633540200162526
79,0.42114537703869376,0.12660652904558675,1,15,0.17860758985960024,0.43822366007067476
80,0.39437809750174263,0.1954640749408654,1,16,0.15363419737385425,0.3308011840338359
81,0.38454505423328694,0.25566977224037984,1,17,0.20888568278790542,0.1582106814837916
82,0.39279785701961595,0.30762892338938735,1,18,0.16795115551328277,0.3010758911323816
83,0.42908499287720053,0.19288821603618933,1,19,0.21626971101364817,0.23537176241683594
84,0.3821823490059762,0.17883885694661394,1,20,0.20577028426852212,0.32391757274924793
85,0.3277162255416003,0.17777701618473804,1,21,0.19709659837064775,0.4371507864151624
86,0.31662162348781653,0.16574286745913167,1,22,0.1575360373395107,0.4767711795995709
87,0.21870218326977675,0.2247864014348577,1,23,0.18900516922368876,0.3627250850523615
88,0.18134528905027458,0.19120458074241464,1,24,0.1939114157845849,0.37604219808147865
89,0.19136130583144254,0.21283652436368625,1,25,0.24900302186584283,0.3118728896075899
90,0.16269303396281024,0.25903489774522304,1,26,0.16452278413779664,0.3732113395929018
91,0.22210359875224725,0.29088445167228594,1,27,0.18376297511834214,0.3237104154571812
92,0.2397412356052895,0.3601822897084007,1,28,0.19246098999765068,0.30473957802511425
93,0.29520713321076514,0.3059465618165743,1,29,0.16725334697523117,0.2741892302996466
94,0.4481516908606726,0.1906635607101071,1,30,0.16311502324173272,0.2562041151888392
95,0.36729440332741725,0.33372286189922307,1,31,0.1780403417283655,0.3309283229378627
96,0.35814583890364227,0.24324080863550845,1,32,0.17239341440928257,0.34010332758594664
97,0.3809490829360042,0.24544621355716795,1,33,0.14609628621079887,0.23907960029450875
98,0.33125867705211365,0.22334560384028657,1,34,0.18141298124660646,0.19682440041403917
99,0.43910061390059735,0.21175485618231618,1,35,0.16296951692203113,0.2890322131572672
100,0.34098416140777354,0.26097760536702885,1,36,0.16128818993086996,0.3619641403603594
